City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Palaia Fokaia,GR,37.72,23.9463,44.98,71,24,8.01,few clouds
Anadyr,RU,64.75,177.4833,-34.1,73,58,11.18,broken clouds
Aitape,PG,-3.1374,142.3475,81.72,83,99,10.92,overcast clouds
Alyangula,AU,-13.8483,136.4192,84.92,69,99,4.59,overcast clouds
La Ronge,CA,55.1001,-105.2842,-17.09,93,38,5.5,scattered clouds
Vallenar,CL,-28.5708,-70.7581,69.84,52,0,2.42,clear sky
Chimbote,PE,-9.0853,-78.5783,71.38,81,50,6.13,scattered clouds
Padang,ID,-0.9492,100.3543,87.85,61,67,4.94,broken clouds
Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,8.05,scattered clouds
Dunmore Town,BS,25.5,-76.65,74.62,67,6,15.05,clear sky
Wairoa,NZ,-39.0333,177.3667,66.54,82,100,4.0,overcast clouds
Parrita,CR,9.5201,-84.3225,80.37,74,5,3.38,clear sky
Temerloh,MY,3.4483,102.4176,88.57,50,64,2.77,broken clouds
Dukat,RU,62.55,155.55,-17.52,59,3,2.3,clear sky
Athabasca,CA,54.7169,-113.2854,-8.88,97,31,4.74,scattered clouds
Flin Flon,CA,54.7682,-101.865,-21.71,99,23,5.08,few clouds
Jumla,NP,29.2747,82.1838,42.98,67,100,5.53,overcast clouds
Wicklow,IE,53.0,-6.4167,33.01,95,51,5.66,broken clouds
Salinopolis,BR,-0.6136,-47.3561,78.4,85,83,8.97,broken clouds
Muisne,EC,0.6,-80.0333,76.24,92,82,8.19,light rain
Sokoni,TZ,-6.4333,39.55,78.75,84,100,7.34,light rain
Berekum,GH,7.4534,-2.584,66.56,24,30,5.26,scattered clouds
Resen,MK,41.0889,21.0122,30.43,73,0,6.33,clear sky
Kampene,CD,-3.6,26.6667,72.12,84,98,0.89,overcast clouds
Alofi,NU,-19.0595,-169.9187,81.7,83,7,25.46,clear sky
Buraydah,SA,26.326,43.975,53.55,40,0,11.39,clear sky
Frontera,MX,26.9333,-101.45,68.32,36,79,3.0,broken clouds
Nouadhibou,MR,20.931,-17.0347,60.78,72,29,2.3,scattered clouds
General Roca,AR,-39.0333,-67.5833,64.8,87,100,6.6,overcast clouds
Claremore,US,36.3126,-95.6161,22.17,61,0,11.01,clear sky
Lavrentiya,RU,65.5833,-171.0,-18.78,89,30,7.85,scattered clouds
Brae,GB,60.3964,-1.353,35.51,59,100,26.93,overcast clouds
Husavik,IS,66.0449,-17.3389,40.91,74,99,16.02,overcast clouds
Kiama,AU,-34.6833,150.8667,72.57,70,92,3.0,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,43.5,85,100,13.22,light rain
Ulladulla,AU,-35.35,150.4667,70.68,67,88,11.65,overcast clouds
Montepuez,MZ,-13.1256,38.9997,72.59,88,96,5.82,overcast clouds
Iquique,CL,-20.2208,-70.1431,69.08,79,78,2.04,broken clouds
Pacific Grove,US,36.6177,-121.9166,56.61,89,40,7.0,scattered clouds
Ekpoma,NG,6.7421,6.139,67.8,33,83,4.5,broken clouds
Tongliao,CN,43.6125,122.2653,11.64,67,1,4.03,clear sky
Yambio,SS,4.5721,28.3955,72.77,33,100,7.76,overcast clouds
Goulburn,AU,-34.75,149.7167,65.16,65,80,16.73,broken clouds
Tenerife,CO,9.9003,-74.859,76.5,77,5,0.74,clear sky
Baraut,IN,29.1,77.2667,55.35,56,62,3.38,broken clouds
Rapid Valley,US,44.0625,-103.1463,11.05,66,1,5.99,clear sky
Eyl,SO,7.9803,49.8164,80.58,57,70,15.75,broken clouds
Olinda,BR,-8.0089,-34.8553,76.73,94,40,3.44,scattered clouds
Resistencia,AR,-27.4606,-58.9839,86.11,99,46,4.45,scattered clouds
Saskylakh,RU,71.9167,114.0833,-17.28,94,85,6.76,overcast clouds
Arroyo Grande,US,35.1186,-120.5907,57.61,64,0,1.99,clear sky
Aklavik,CA,68.2191,-135.0107,-21.28,97,100,6.11,overcast clouds
Ippy,CF,6.2679,21.2247,71.13,27,62,7.38,broken clouds
Yenagoa,NG,4.9247,6.2642,70.02,49,30,4.05,scattered clouds
Willmar,US,45.1219,-95.0433,-7.65,71,18,10.36,few clouds
Koppang,NO,61.5706,11.0555,20.62,67,67,17.6,broken clouds
Moyale,KE,3.5167,39.0584,76.55,38,45,9.17,scattered clouds
Chapais,CA,49.7834,-74.8492,-9.62,92,100,11.72,overcast clouds
Fort Portal,UG,0.6617,30.2748,66.85,70,100,0.22,overcast clouds
Amapa,BR,1.0,-52.0,70.83,99,88,1.36,overcast clouds
Chulman,RU,56.8479,124.9104,-9.67,88,96,1.03,overcast clouds
Victoria,HK,22.2855,114.1577,68.38,69,24,1.01,few clouds
Kailua,US,21.4022,-157.7394,75.18,87,1,0.0,clear sky
Champerico,GT,14.3,-91.9167,75.29,76,0,5.35,clear sky
Hobyo,SO,5.3505,48.5268,81.5,62,96,18.88,overcast clouds
Jati,PK,24.3539,68.2671,81.28,50,0,14.23,clear sky
Najran,SA,17.4924,44.1277,61.45,53,1,0.56,clear sky
Bengkulu,ID,-3.8004,102.2655,82.67,72,98,10.6,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,32.05,95,100,22.5,overcast clouds
Timizart,DZ,36.8,4.2667,42.26,59,13,3.11,few clouds
Provideniya,RU,64.3833,-173.3,-10.17,86,1,6.15,clear sky
Verkhoyansk,RU,67.5447,133.385,-43.78,99,54,1.14,broken clouds
Antofagasta,CL,-23.65,-70.4,72.21,49,44,5.97,scattered clouds
Uruguaiana,BR,-29.7547,-57.0883,80.53,78,16,6.91,few clouds
Ojinaga,MX,29.5667,-104.4167,52.75,40,0,16.11,clear sky
Rincon,US,32.296,-81.2354,49.86,87,0,4.61,clear sky
Saint-Francois,FR,46.4154,3.9054,38.48,93,100,2.3,overcast clouds
Chaman,PK,30.9236,66.4512,50.95,42,0,5.59,clear sky
Valencia,ES,39.3333,-0.8333,38.68,75,62,3.69,broken clouds
Bambanglipuro,ID,-7.95,110.2833,74.66,91,100,11.61,overcast clouds
Bondo,CD,3.8146,23.6866,70.07,90,32,2.91,scattered clouds
Wladyslawowo,PL,54.7909,18.4009,33.01,71,90,27.02,light snow
Ulaangom,MN,49.9811,92.0667,-1.52,92,76,2.01,broken clouds
Cayenne,GF,4.9333,-52.3333,76.08,91,0,0.0,clear sky
Kloulklubed,PW,7.0419,134.2556,84.7,73,79,11.63,broken clouds
Domoni,KM,-12.2569,44.5319,82.47,78,94,9.44,light rain
Solnechnogorsk,RU,56.1833,36.9833,24.73,94,100,11.03,overcast clouds
Northam,GB,51.0333,-4.2167,43.43,85,12,12.33,few clouds
Segamat,MY,2.5148,102.8158,87.62,47,98,5.21,overcast clouds
Verkhnya Syrovatka,UA,50.829,34.9586,13.5,96,70,8.41,broken clouds
Hay River,CA,60.8156,-115.7999,-4.02,77,20,4.61,few clouds
Kaitangata,NZ,-46.2817,169.8464,55.92,75,100,13.22,overcast clouds
Rudbar,AF,30.15,62.6,57.65,39,13,2.17,few clouds
Lodja,CD,-3.4833,23.4333,72.27,80,100,0.25,overcast clouds
Karpathos,GR,35.507,27.2132,46.36,61,40,11.5,scattered clouds
Poum,NC,-20.2333,164.0167,82.22,74,24,10.87,few clouds
Codrington,AU,-38.2667,141.9667,78.58,41,0,18.32,clear sky
Necochea,AR,-38.5473,-58.7368,64.04,87,26,9.86,scattered clouds
Qasigiannguit,GL,68.8193,-51.1922,41.25,69,100,24.02,overcast clouds
Kaka,TM,37.3482,59.6143,47.52,42,0,5.1,clear sky
Baykit,RU,61.67,96.37,13.77,94,100,3.85,overcast clouds
Kyzyl-Suu,KG,42.3414,78.0056,30.38,78,87,2.19,light snow
Namibe,AO,-15.1961,12.1522,69.89,77,87,1.54,overcast clouds
Chokurdakh,RU,70.6333,147.9167,-32.49,97,89,5.23,overcast clouds
Riosucio,CO,5.4216,-75.7032,58.6,95,49,0.67,scattered clouds
Alice Springs,AU,-23.7,133.8833,94.55,31,69,8.05,broken clouds
Sisimiut,GL,66.9395,-53.6735,24.82,92,100,14.92,snow
Takoradi,GH,4.8845,-1.7554,77.47,81,57,5.88,broken clouds
Joppatowne,US,39.4579,-76.3552,45.7,82,100,1.99,moderate rain
Geraldton,AU,-28.7667,114.6,102.61,15,0,19.57,clear sky
Nampula,MZ,-15.1165,39.2666,75.15,83,75,10.36,broken clouds
Miri,MY,4.4148,114.0089,75.34,100,40,4.61,thunderstorm with light rain
Gayeri,BF,12.6497,0.4931,58.42,18,0,9.35,clear sky
Lubao,PH,14.9167,120.55,86.07,54,86,16.04,overcast clouds
Ketchikan,US,55.3422,-131.6461,46.38,87,100,14.97,heavy intensity rain
Toro,CO,4.6117,-76.0814,66.85,96,91,0.49,overcast clouds
Namie,JP,37.4833,141.0,42.98,44,91,5.91,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,44.02,70,7,6.91,clear sky
Whitehorse,CA,60.7161,-135.0538,18.37,80,20,25.32,few clouds
Port Hedland,AU,-20.3167,118.5667,96.85,49,3,16.11,clear sky
Pozo Colorado,PY,-23.4923,-58.7972,84.42,42,34,5.26,scattered clouds
Hervey Bay,AU,-25.2986,152.8535,82.04,76,50,5.99,scattered clouds
Clyde River,CA,70.4692,-68.5914,-0.17,92,100,43.73,heavy snow
Port Blair,IN,11.6667,92.75,82.44,74,40,11.5,scattered clouds
Waddan,LY,29.1614,16.139,51.12,77,95,4.74,overcast clouds
Muroto,JP,33.2833,134.15,48.24,48,57,18.48,broken clouds
Gweta,BW,-20.1833,25.2333,74.98,44,59,14.76,broken clouds
Savannah Bight,HN,16.45,-85.85,75.0,76,9,19.13,clear sky
Seybaplaya,MX,19.65,-90.6667,68.47,82,4,7.67,clear sky
Santa Cruz,BO,-17.8,-63.1667,74.66,94,100,3.44,overcast clouds
Gillette,US,44.2911,-105.5022,7.95,77,20,8.01,few clouds
Olga,RU,43.7444,135.2892,14.41,48,2,15.9,clear sky
Urusha,RU,54.05,122.9,-1.57,67,94,2.64,overcast clouds
Hofn,IS,64.2539,-15.2082,32.79,56,74,3.65,broken clouds
Bhongir,IN,17.5108,78.8889,82.58,33,65,1.79,broken clouds
Midyat,TR,37.4247,41.3393,26.83,87,85,6.15,overcast clouds
Narasannapeta,IN,18.4167,84.05,76.03,63,11,4.36,few clouds
Goderich,CA,43.7501,-81.7165,21.52,63,100,19.57,overcast clouds
Santa Maria Del Oro,MX,25.9333,-105.3667,55.63,48,100,4.79,overcast clouds
Erzin,TR,36.9559,36.2,38.12,54,0,5.17,clear sky
Belyy Yar,RU,53.6039,91.3903,6.69,100,75,4.47,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,86,82,19.04,broken clouds
Union Hidalgo,MX,16.4723,-94.8295,69.66,85,30,8.19,scattered clouds
Changping,CN,40.2186,116.2197,26.24,65,100,3.29,overcast clouds
Tubuala,PA,9.5167,-79.0333,78.33,82,53,14.94,broken clouds
Diamantino,BR,-14.4086,-56.4461,71.19,96,89,4.83,overcast clouds
Paka,MY,4.6374,103.4368,85.93,62,40,9.22,scattered clouds
Aberfoyle,AU,-30.2667,152.0167,55.98,94,100,10.58,overcast clouds
Hargeysa,SO,9.56,44.065,65.7,67,62,15.28,broken clouds
The Pas,CA,53.8251,-101.2541,-18.38,76,0,5.75,clear sky
El Cobre,CU,20.0489,-75.9469,72.84,83,20,4.61,few clouds
Taoudenni,ML,22.6783,-3.9836,57.43,21,1,7.74,clear sky
Kirakira,SB,-10.4544,161.9205,83.88,75,99,1.32,light rain
Xiaolan,CN,22.6731,113.2295,72.09,41,24,0.83,few clouds
Teguldet,RU,57.3064,88.1667,11.91,90,90,6.42,overcast clouds
Progreso,MX,21.2833,-89.6667,69.12,84,0,10.85,clear sky
Nyaunglebin,MM,17.95,96.7333,86.45,39,14,6.64,few clouds
Callaguip,PH,18.0714,120.4867,84.22,65,40,6.91,scattered clouds
La Serena,CL,-29.9078,-71.2542,64.58,65,0,2.55,clear sky
Rio Grande,BR,-32.035,-52.0986,78.91,92,6,6.78,light rain
Urgut,UZ,39.4022,67.2431,29.82,48,2,2.28,clear sky
La Cumbre,AR,-30.982,-64.4914,63.79,97,29,1.01,scattered clouds
Klamath Falls,US,42.2249,-121.7817,37.87,90,0,0.0,clear sky
Quillota,CL,-32.8833,-71.2667,65.32,69,0,2.64,clear sky
Faya,SA,18.3851,42.4509,61.32,59,12,6.04,few clouds
Port-Cartier,CA,50.0334,-66.8654,2.75,97,100,9.17,light snow
Elburg,NL,52.4475,5.8431,40.98,76,89,1.99,overcast clouds
Aksu,CN,41.1231,80.2644,35.8,28,61,3.94,broken clouds
Sarab,IR,38.6066,44.9883,21.38,94,100,3.91,snow
Odessa,UA,46.4775,30.7326,24.73,86,0,4.47,clear sky
Tuatapere,NZ,-46.1333,167.6833,55.81,77,100,11.05,overcast clouds
Taltal,CL,-25.4,-70.4833,66.31,83,2,2.13,clear sky
Adilabad,IN,19.6667,78.5333,78.91,27,5,3.67,clear sky
Lons,FR,43.3167,-0.4,43.02,93,100,3.44,overcast clouds
Arlit,NE,18.7369,7.3853,49.55,34,1,1.99,clear sky
Coari,BR,-4.085,-63.1414,72.91,99,72,2.75,broken clouds
Toamasina,MG,-18.1667,49.3833,78.8,89,75,11.5,broken clouds
Roseburg,US,43.2165,-123.3417,54.5,89,100,0.0,overcast clouds
Inuvik,CA,68.3499,-133.7218,-21.24,76,75,5.75,light snow
Pauini,BR,-7.7136,-66.9764,72.23,98,100,0.4,overcast clouds
Kedrovyy,RU,56.1667,91.8167,3.61,88,62,2.01,broken clouds
Grindavik,IS,63.8424,-22.4338,39.67,100,100,13.8,overcast clouds
Portland,US,45.5234,-122.6762,54.59,94,100,1.01,moderate rain
Otse,BW,-25.0167,25.7333,70.97,54,88,11.32,overcast clouds
Ust-Ilimsk,RU,58.0006,102.6619,12.9,88,72,4.03,broken clouds
Herndon,US,38.9696,-77.3861,44.92,91,100,3.44,overcast clouds
Kawalu,ID,-7.3817,108.2082,73.06,93,100,2.48,overcast clouds
Paracatu,BR,-17.2222,-46.8747,67.48,86,28,0.69,scattered clouds
Doka,SD,13.5167,35.7667,64.72,19,10,12.8,clear sky
Treinta Y Tres,UY,-33.2333,-54.3833,72.05,99,56,4.14,broken clouds
Ndjole,GA,-0.1783,10.7649,73.81,98,100,0.89,overcast clouds
Ambatofinandrahana,MG,-20.55,46.8,62.1,94,100,2.3,light rain
Keti Bandar,PK,24.1447,67.4497,76.68,74,0,19.3,clear sky
Kavaratti,IN,10.5669,72.642,81.48,63,78,8.68,broken clouds
Krasnokamensk,RU,50.0979,118.0369,-3.28,87,86,2.26,overcast clouds
Lyubim,RU,58.3625,40.6843,24.58,94,100,10.78,overcast clouds
Roald,NO,62.5833,6.1333,31.91,74,75,27.63,broken clouds
Ust-Maya,RU,60.4167,134.5333,-26.48,97,28,1.86,scattered clouds
Sechura,PE,-5.5569,-80.8222,71.37,79,98,10.56,overcast clouds
Abu Dhabi,AE,24.4667,54.3667,73.51,63,40,6.91,scattered clouds
Vicosa,BR,-20.7539,-42.8819,66.54,96,1,2.37,clear sky
Racine,US,42.7495,-88.0751,9.43,70,68,5.99,broken clouds
Yulara,AU,-25.2406,130.9889,93.04,36,75,12.66,broken clouds
Mogadishu,SO,2.0371,45.3438,81.46,69,27,16.98,scattered clouds
Otofuke,JP,42.9917,143.2003,20.35,87,53,0.47,broken clouds
Yokadouma,CM,3.5167,15.05,63.72,40,61,1.34,broken clouds
Magadan,RU,59.5667,150.8,-0.67,67,3,7.07,clear sky
Vagur,FO,61.4732,-6.8119,38.7,61,90,16.15,overcast clouds
Kendari,ID,-3.945,122.4989,82.67,77,97,3.13,light rain
Kolobrzeg,PL,54.1757,15.5834,35.96,71,30,31.29,scattered clouds
Srednekolymsk,RU,67.45,153.6833,-41.49,100,52,1.03,broken clouds
Boende,CD,-0.2167,20.8667,74.28,76,97,0.38,overcast clouds
Hede,CN,33.7681,120.2517,39.29,51,17,10.63,few clouds
Kavieng,PG,-2.5744,150.7967,78.8,85,100,14.7,moderate rain
Mzimba,MW,-11.9,33.6,62.76,97,100,4.14,light rain
Port Moresby,PG,-9.4431,147.1797,82.31,77,84,11.5,broken clouds
Boddam,GB,57.4667,-1.7833,39.11,60,100,27.69,overcast clouds
Goure,NE,13.9835,10.2704,49.21,37,3,11.07,clear sky
Pangai,TO,-19.8,-174.35,82.27,85,29,22.73,scattered clouds
Hlotse,LS,-28.8718,28.045,63.81,77,1,3.02,clear sky
Navolato,MX,24.7672,-107.6944,66.63,86,100,7.81,overcast clouds
Nantucket,US,41.2835,-70.0995,46.51,78,100,11.5,overcast clouds
Laguna,US,38.421,-121.4238,54.41,91,0,0.0,clear sky
Zheleznodorozhnyy,RU,55.7503,38.0042,25.32,94,100,10.76,overcast clouds
Kovdor,RU,67.5662,30.4758,11.43,95,100,3.42,overcast clouds
Toppenish,US,46.3774,-120.3087,34.41,90,98,0.96,overcast clouds
Okha,RU,53.5739,142.9478,4.08,94,100,18.25,overcast clouds
Tiarei,PF,-17.5333,-149.3333,80.62,77,100,19.37,light rain
Redcliffe,AU,-27.2307,153.0973,76.28,95,75,9.22,broken clouds
Tasgaon,IN,17.0333,74.6,82.38,25,73,2.39,broken clouds
Labranzagrande,CO,5.5622,-72.575,65.26,83,94,3.4,overcast clouds
Dusti,TJ,37.3481,68.664,38.12,56,0,6.87,clear sky
Taksimo,RU,56.3444,114.8794,-6.59,86,85,1.59,overcast clouds
Mahon,ES,39.8885,4.2658,46.96,81,20,10.36,few clouds
Los Lunas,US,34.8062,-106.7334,40.24,65,100,3.76,overcast clouds
Kansanshi,ZM,-12.0951,26.4273,61.02,98,100,2.44,light rain
Santa Maria,BR,-29.6842,-53.8069,78.49,56,12,2.82,few clouds
Honiara,SB,-9.4333,159.95,82.51,83,96,2.68,overcast clouds
Yima,CN,34.7381,111.8839,28.62,80,100,13.89,light snow
Udachnyy,RU,66.4167,112.4,-10.12,93,79,8.41,broken clouds
Panaba,MX,21.2833,-88.2667,65.93,95,3,6.96,clear sky
Dongkan,CN,33.9997,119.8308,40.06,46,6,10.16,clear sky
Altagracia De Orituco,VE,9.8601,-66.3814,68.79,92,47,4.41,scattered clouds
Saint-Augustin,CA,51.226,-58.6502,-14.98,90,63,4.25,broken clouds
Ferme-Neuve,CA,46.7001,-75.4493,4.78,86,98,10.58,overcast clouds
Sile,TR,41.1754,29.6133,37.56,50,2,5.01,clear sky
Kemijarvi,FI,66.7131,27.4306,19.58,83,100,5.06,overcast clouds
Mecca,SA,21.4267,39.8261,62.4,52,0,12.75,clear sky
Acapulco,MX,16.8634,-99.8901,75.43,82,78,5.97,broken clouds
Franca,BR,-20.5386,-47.4008,62.4,86,78,3.22,broken clouds
Bud,US,39.447,-86.1758,22.46,72,100,12.71,overcast clouds
Jeremoabo,BR,-10.075,-38.4808,67.98,98,14,4.32,few clouds
Constantine,DZ,36.365,6.6147,29.61,86,0,2.3,clear sky
Banepa,NP,27.6298,85.5214,53.92,58,75,4.61,haze
Dzhebariki-Khaya,RU,62.2167,135.8,-35.05,99,65,0.83,broken clouds
Maragogi,BR,-9.0122,-35.2225,77.86,82,38,3.51,scattered clouds
Tottori,JP,35.5,134.2333,37.47,87,75,27.63,broken clouds
Isla Vista,US,34.4133,-119.861,56.14,77,0,0.0,clear sky
Rocha,UY,-34.4833,-54.3333,72.36,99,100,4.47,overcast clouds
Kibungo,RW,-2.1597,30.5427,63.52,87,100,0.83,overcast clouds
Hinton,CA,53.4001,-117.5857,12.24,84,100,7.23,overcast clouds
Southbridge,US,42.0751,-72.0334,41.11,73,82,1.99,broken clouds
Visnes,NO,59.3556,5.2242,33.57,80,75,33.38,broken clouds
Qeshm,IR,26.9581,56.2719,71.47,58,97,11.86,overcast clouds
Kamenka,RU,51.3223,42.7678,-3.93,100,100,5.39,overcast clouds
Cherskiy,RU,68.75,161.3,-41.4,99,31,3.51,scattered clouds
Mumford,GH,5.2618,-0.759,76.93,65,68,4.21,broken clouds
Otjimbingwe,NA,-22.35,16.1333,72.54,80,97,1.21,overcast clouds
Saint-Louis,SN,16.3333,-15.0,71.56,12,29,9.24,scattered clouds
Deep River,CA,46.1001,-77.4995,0.95,83,99,10.96,overcast clouds
Bartica,GY,6.4,-58.6167,75.52,100,56,2.13,light rain
Aswan,EG,24.0934,32.907,50.43,62,0,11.34,clear sky
Macapa,BR,0.0389,-51.0664,76.98,100,75,0.0,broken clouds
Zelenogorskiy,RU,55.0333,87.0,-1.68,94,95,1.34,overcast clouds
Omboue,GA,-1.5746,9.2618,75.99,89,100,2.15,overcast clouds
Kita,ML,13.0349,-9.4895,64.51,15,2,4.54,clear sky
Channel-Port Aux Basques,CA,47.5702,-59.1367,27.18,95,100,13.69,snow
Arvin,US,35.2091,-118.8284,59.45,69,0,0.4,clear sky
Tutayev,RU,57.8853,39.5406,24.28,93,100,11.5,overcast clouds
Bolama,GW,11.5833,-15.4667,68.34,79,94,4.27,overcast clouds
Inongo,CD,-1.95,18.2667,74.12,82,100,2.04,overcast clouds
Ossora,RU,59.2353,163.0719,-1.25,73,14,7.9,few clouds
Mount Isa,AU,-20.7333,139.5,92.97,43,99,8.05,overcast clouds
Changji,CN,44.0167,87.3167,25.59,68,100,2.24,mist
Beringovskiy,RU,63.05,179.3167,-22.52,91,6,8.16,clear sky
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.37,81,30,3.89,scattered clouds
Bonavista,CA,48.6499,-53.1147,24.12,63,43,19.71,scattered clouds
Nikolayevka,RU,53.1257,47.2041,14.23,97,97,4.36,overcast clouds
Mangan,IN,27.5167,88.5333,61.38,52,99,7.49,overcast clouds
Joaima,BR,-16.6542,-41.0306,69.98,97,31,1.57,scattered clouds
Lata,PT,40.1629,-8.3327,46.81,65,3,4.14,clear sky
Ocos,GT,14.5094,-92.1933,75.0,76,0,5.46,clear sky
Sabla,NG,12.7525,4.7077,57.45,26,0,14.81,clear sky
Wawa,NG,9.9022,4.4192,66.69,29,7,5.97,clear sky
Port-Gentil,GA,-0.7193,8.7815,76.96,94,40,2.3,thunderstorm
Ust-Nera,RU,64.5667,143.2,-34.2,90,12,4.34,few clouds
Richards Bay,ZA,-28.783,32.0377,76.69,73,11,1.83,few clouds
Palizada,MX,18.25,-92.0833,67.53,94,0,5.06,clear sky
Ndele,CF,8.4109,20.6473,66.2,32,39,5.99,scattered clouds
Praya,CV,14.9215,-23.5087,70.34,78,40,12.66,scattered clouds
Yar-Sale,RU,66.8333,70.8333,4.17,93,80,13.65,broken clouds
Labuhan,ID,-6.8844,112.2051,79.34,83,99,14.79,overcast clouds
Benghazi,LY,32.1167,20.0667,54.77,70,80,13.62,broken clouds
Keta,GH,5.9179,0.9879,75.42,49,98,8.7,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,12.65,68,84,2.84,broken clouds
Makakilo City,US,21.3469,-158.0858,73.72,79,0,0.0,clear sky
Long Beach,US,33.767,-118.1892,61.39,90,0,3.44,haze
Teknaf,BD,20.8624,92.3058,74.01,53,21,5.5,few clouds
Jalu,LY,29.0331,21.5482,48.78,65,2,1.1,clear sky
Nouakchott,MR,18.0858,-15.9785,64.33,30,53,9.17,broken clouds
Potsdam,DE,52.3989,13.0657,36.01,89,76,7.0,broken clouds
Puerto Palomas,MX,31.7667,-107.6167,43.93,50,100,7.76,overcast clouds
Kamina,CD,-8.7386,24.9906,65.77,93,100,1.92,overcast clouds
Conde,BR,-7.2597,-34.9075,72.86,94,0,1.14,clear sky
Salym,RU,60.0625,71.4789,15.8,95,83,6.89,broken clouds
Arman,RU,59.7,150.1667,-2.25,78,4,7.11,clear sky
Monte Gordo,PT,37.1819,-7.4523,42.75,67,0,6.69,clear sky
Waingapu,ID,-9.6567,120.2641,83.62,70,94,10.09,overcast clouds
Le Port,RE,-20.9373,55.2919,87.76,76,62,3.18,broken clouds
Bemidji,US,47.4736,-94.8803,-12.08,81,0,3.44,clear sky
Barraute,CA,48.4335,-77.6328,-10.93,92,100,9.42,overcast clouds
Nome,US,64.5011,-165.4064,-11.13,64,0,9.22,clear sky
Sola,VU,-13.8833,167.55,88.47,66,20,3.44,few clouds
Tautira,PF,-17.7333,-149.15,80.62,77,100,19.24,overcast clouds
Aripuana,BR,-9.1667,-60.6333,71.46,99,98,1.28,overcast clouds
Sibolga,ID,1.7427,98.7792,85.78,57,74,5.03,broken clouds
Rawa Mazowiecka,PL,51.7644,20.2549,35.1,85,100,20.87,light snow
Masuguru,TZ,-11.3667,38.4167,73.38,88,100,3.27,overcast clouds
Marawi,PH,7.9986,124.2928,73.65,59,93,5.79,overcast clouds
Sorgun,TR,39.8101,35.186,16.05,86,42,4.23,scattered clouds
Tengushevo,RU,54.7686,42.7189,11.48,88,98,11.03,overcast clouds
Bassila,BJ,9.0081,1.6654,73.27,24,7,6.89,clear sky
Pandan,PH,14.0453,124.1694,75.29,92,100,12.3,overcast clouds
Two Rivers,US,44.1539,-87.5693,9.09,69,0,4.0,clear sky
Paamiut,GL,61.994,-49.6678,32.63,98,100,25.32,snow
Kaele,CM,10.1092,14.4508,59.77,25,56,12.71,broken clouds
Rutana,BI,-3.8667,30.1,60.87,87,98,0.98,light rain
Kharan,PK,28.5833,65.4167,62.78,56,48,3.27,scattered clouds
Gamba,GA,-2.65,10.0,75.83,88,100,2.13,light rain
Dharchula,IN,29.85,80.5333,56.28,60,99,4.63,overcast clouds
Nabire,ID,-3.3667,135.4833,84.09,74,100,4.38,light rain
Zhovkva,UA,50.0583,23.9726,33.03,78,99,19.89,overcast clouds
Daru,PG,-9.0763,143.2092,82.85,78,70,6.08,broken clouds
Calabozo,VE,8.9242,-67.4293,78.1,64,11,7.94,few clouds
Neuquen,AR,-38.9516,-68.0591,64.29,88,100,3.44,overcast clouds
